id,sampleId,area_pixels,area_um2,dataHora,imagemId,nomeImagem,operator,scale_pixels_per_um
MEAS_1758239570,SAMPLE_1758239348,141001.0,1410.01,2025-09-18 20:52:50,IMG_1758239570,IMG_1758239570.jpg,Operador,10.0
MEAS_1758239934,SAMPLE_1758239921,79689.0,796.89,2025-09-18 20:58:54,IMG_1758239934,IMG_1758239934.jpg,Operador,10.0
MEAS_1758240098,SAMPLE_1758239936,134977.0,1349.77,2025-09-18 21:01:38,IMG_1758240098,IMG_1758240098.jpg,Operador,10.0
MEAS_1758241704,SAMPLE_1758241696,92755.5,927.55,2025-09-18 21:28:24,IMG_1758241704,IMG_1758241704.jpg,Operador,10.0
MEAS_1758241917,SAMPLE_1758241906,131735.0,1317.35,2025-09-18 21:31:57,IMG_1758241917,IMG_1758241917.jpg,Operador,10.0
MEAS_1758242288,SAMPLE_1758242275,99983.5,999.84,2025-09-18 21:38:08,IMG_1758242288,IMG_1758242288.jpg,Operador,10.0
MEAS_1758242547,SAMPLE_1758242444,78286.5,782.87,2025-09-18 21:42:27,IMG_1758242547,IMG_1758242547.jpg,Operador,10.0
